volume_A,volume_B,volume_C
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
2703,1280,1227
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
7905,4014,3886
8858,3731,3858
8023,4130,3982
2791,1310,1241
2933,1269,1326
7597,3196,3523
8833,3875,4220
